Region;Region name;Year;Symbol;Value;Label;Unit
SE;Sweden;1974;TG;0.945646;Temporary grassland;Mha
SE;Sweden;1975;C;2.805859864262295;Cropland in use;Mha
SE;Sweden;1975;Csum;2.805859864262295;Crop area sum;Mha
SE;Sweden;1975;Ctot;3.006;FAOSTAT cropland;Mha
SE;Sweden;1975;PG;0.72;Permanent grassland;Mha
SE;Sweden;1975;TG;0.918455;Temporary grassland;Mha
SE;Sweden;1976;C;2.8274587201130585;Cropland in use;Mha
SE;Sweden;1976;Csum;2.8274587201130585;Crop area sum;Mha
SE;Sweden;1976;Ctot;3.003;FAOSTAT cropland;Mha
SE;Sweden;1976;PG;0.732;Permanent grassland;Mha
SE;Sweden;1976;TG;0.9062080000000001;Temporary grassland;Mha
SE;Sweden;1977;C;2.81224725594121;Cropland in use;Mha
SE;Sweden;1977;Csum;2.81224725594121;Crop area sum;Mha
SE;Sweden;1977;Ctot;2.994;FAOSTAT cropland;Mha
SE;Sweden;1977;PG;0.728;Permanent grassland;Mha
SE;Sweden;1977;TG;0.8963850000000001;Temporary grassland;Mha
SE;Sweden;1978;C;2.8021107295873375;Cropland in use;Mha
SE;Sweden;1978;Csum;2.8021107295873375;Crop area sum;Mha
SE;Sweden;1978;Ctot;3.0;FAOSTAT cropland;Mha
SE;Sweden;1978;PG;0.728;Permanent grassland;Mha
SE;Sweden;1978;TG;0.905702;Temporary grassland;Mha
SE;Sweden;1979;C;2.781036510351611;Cropland in use;Mha
SE;Sweden;1979;Csum;2.781036510351611;Crop area sum;Mha
SE;Sweden;1979;Ctot;2.985;FAOSTAT cropland;Mha
SE;Sweden;1979;PG;0.726;Permanent grassland;Mha
SE;Sweden;1979;TG;0.908653;Temporary grassland;Mha
SE;Sweden;1980;C;2.785129241854155;Cropland in use;Mha
SE;Sweden;1980;Csum;2.785129241854155;Crop area sum;Mha
SE;Sweden;1980;Ctot;2.979;FAOSTAT cropland;Mha
SE;Sweden;1980;PG;0.725;Permanent grassland;Mha
SE;Sweden;1980;TG;0.9142510000000001;Temporary grassland;Mha
SE;Sweden;1981;C;2.762347009026569;Cropland in use;Mha
SE;Sweden;1981;Csum;2.762347009026569;Crop area sum;Mha
SE;Sweden;1981;Ctot;2.96;FAOSTAT cropland;Mha
SE;Sweden;1981;PG;0.715;Permanent grassland;Mha
SE;Sweden;1981;TG;0.912641;Temporary grassland;Mha
SE;Sweden;1982;C;2.7929397029169025;Cropland in use;Mha
SE;Sweden;1982;Csum;2.7929397029169025;Crop area sum;Mha
SE;Sweden;1982;Ctot;2.95;FAOSTAT cropland;Mha
SE;Sweden;1982;PG;0.71;Permanent grassland;Mha
SE;Sweden;1982;TG;0.912096;Temporary grassland;Mha
SE;Sweden;1983;C;2.775361111814584;Cropland in use;Mha
SE;Sweden;1983;Csum;2.775361111814584;Crop area sum;Mha
SE;Sweden;1983;Ctot;2.941;FAOSTAT cropland;Mha
SE;Sweden;1983;PG;0.695;Permanent grassland;Mha
SE;Sweden;1983;TG;0.89184;Temporary grassland;Mha
SE;Sweden;1984;C;2.8495384819672136;Cropland in use;Mha
SE;Sweden;1984;Csum;2.8495384819672136;Crop area sum;Mha
SE;Sweden;1984;Ctot;2.933;FAOSTAT cropland;Mha
SE;Sweden;1984;PG;0.678;Permanent grassland;Mha
SE;Sweden;1984;TG;0.885249;Temporary grassland;Mha
SE;Sweden;1985;C;2.768276;Cropland in use;Mha
SE;Sweden;1985;Csum;2.768276;Crop area sum;Mha
SE;Sweden;1985;Ctot;2.922;FAOSTAT cropland;Mha
SE;Sweden;1985;PG;0.572;Permanent grassland;Mha
SE;Sweden;1985;TG;0.867269;Temporary grassland;Mha
SE;Sweden;1986;C;2.752551;Cropland in use;Mha
SE;Sweden;1986;Csum;2.752551;Crop area sum;Mha
SE;Sweden;1986;Ctot;2.908;FAOSTAT cropland;Mha
SE;Sweden;1986;PG;0.568;Permanent grassland;Mha
SE;Sweden;1986;TG;0.859176;Temporary grassland;Mha
SE;Sweden;1987;C;2.6497310000000005;Cropland in use;Mha
SE;Sweden;1987;Csum;2.6497310000000005;Crop area sum;Mha
SE;Sweden;1987;Ctot;2.89;FAOSTAT cropland;Mha
SE;Sweden;1987;PG;0.565;Permanent grassland;Mha
SE;Sweden;1987;TG;0.8584630000000001;Temporary grassland;Mha
SE;Sweden;1988;C;2.576971;Cropland in use;Mha
SE;Sweden;1988;Csum;2.576971;Crop area sum;Mha
SE;Sweden;1988;Ctot;2.872;FAOSTAT cropland;Mha
SE;Sweden;1988;PG;0.565;Permanent grassland;Mha
