,region,region name,year,symbol,label,unit,value
500,CY,Cyprus,2000,typ,metabolic typology,no unit,DSG
501,CY,Cyprus,2000,urb_typ,urban typology,no unit,
502,CY,Cyprus,2001,typ,metabolic typology,no unit,DSG
503,CY,Cyprus,2001,urb_typ,urban typology,no unit,
504,CY,Cyprus,2002,typ,metabolic typology,no unit,DSG
505,CY,Cyprus,2002,urb_typ,urban typology,no unit,
506,CY,Cyprus,2003,typ,metabolic typology,no unit,DSG
507,CY,Cyprus,2003,urb_typ,urban typology,no unit,
508,CY,Cyprus,2004,typ,metabolic typology,no unit,DSG
509,CY,Cyprus,2004,urb_typ,urban typology,no unit,
510,CY,Cyprus,2005,typ,metabolic typology,no unit,DSG
511,CY,Cyprus,2005,urb_typ,urban typology,no unit,
512,CY,Cyprus,2006,typ,metabolic typology,no unit,DSG
513,CY,Cyprus,2006,urb_typ,urban typology,no unit,
514,CY,Cyprus,2007,typ,metabolic typology,no unit,DSG
515,CY,Cyprus,2007,urb_typ,urban typology,no unit,
516,CY,Cyprus,2008,typ,metabolic typology,no unit,DSG
517,CY,Cyprus,2008,urb_typ,urban typology,no unit,URB
518,CY,Cyprus,2009,typ,metabolic typology,no unit,DSG
519,CY,Cyprus,2009,urb_typ,urban typology,no unit,
520,CY,Cyprus,2010,typ,metabolic typology,no unit,DSG
521,CY,Cyprus,2010,urb_typ,urban typology,no unit,
522,CY,Cyprus,2011,typ,metabolic typology,no unit,DSG
523,CY,Cyprus,2011,urb_typ,urban typology,no unit,
524,CY,Cyprus,2012,typ,metabolic typology,no unit,DSG
525,CY,Cyprus,2012,urb_typ,urban typology,no unit,URB
526,CY,Cyprus,2013,typ,metabolic typology,no unit,DSG
527,CY,Cyprus,2013,urb_typ,urban typology,no unit,URB
528,CY,Cyprus,2014,typ,metabolic typology,no unit,DSG
529,CY,Cyprus,2014,urb_typ,urban typology,no unit,URB
530,CY,Cyprus,2015,typ,metabolic typology,no unit,DSG
531,CY,Cyprus,2015,urb_typ,urban typology,no unit,URB
532,CY,Cyprus,2016,typ,metabolic typology,no unit,DSG
533,CY,Cyprus,2016,urb_typ,urban typology,no unit,URB
