Domain Code;Domain;region;Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2006;2006;1000 No;330546;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2007;2007;t;17980;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2007;2007;1000 No;321146;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2008;2008;t;15480;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2008;2008;1000 No;276398;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2009;2009;t;15350;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2009;2009;1000 No;274043;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2010;2010;t;18820;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2010;2010;1000 No;336000;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2011;2011;t;16600;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2011;2011;1000 No;255744;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2012;2012;t;13300;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2012;2012;1000 No;237468;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2013;2013;t;12000;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2013;2013;1000 No;215536;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2014;2014;t;12410;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2014;2014;1000 No;248225;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2015;2015;t;9965.77;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2015;2015;1000 No;203383;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2016;2016;t;8698.58;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2016;2016;1000 No;177522;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2017;2017;t;11005.2;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2017;2017;1000 No;224596;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2018;2018;t;8907.37;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2018;2018;1000 No;181783;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2019;2019;t;6922.92;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2019;2019;1000 No;141284;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2020;2020;t;8974.45;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2020;2020;1000 No;183152;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2021;2021;t;6414.79;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2021;2021;1000 No;130914;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;2022;2022;t;7271.35;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;2022;2022;1000 No;148395;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1990;1990;t;50045;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1990;1990;1000 No;850765;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1991;1991;t;50177;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1991;1991;1000 No;855440;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1992;1992;t;50866;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1992;1992;1000 No;850800;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1993;1993;t;51300;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1993;1993;1000 No;862050;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1994;1994;t;51537;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1994;1994;1000 No;865030;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1995;1995;t;49276;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1995;1995;1000 No;827760;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1996;1996;t;49296;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1996;1996;1000 No;818960;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1997;1997;t;48955;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1997;1997;1000 No;786450;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1998;1998;t;47382;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1998;1998;1000 No;776650;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;1999;1999;t;47705;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;1999;1999;1000 No;795080;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2000;2000;t;47786;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2000;2000;1000 No;781300;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2001;2001;t;47760;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2001;2001;1000 No;796000;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2002;2002;t;47841;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2002;2002;1000 No;790966;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2003;2003;t;50239;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2003;2003;1000 No;837300;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2004;2004;t;52414;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2004;2004;1000 No;873500;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2005;2005;t;50702;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2005;2005;1000 No;845000;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2006;2006;t;50815;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2006;2006;1000 No;846900;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2007;2007;t;53187;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2007;2007;1000 No;880500;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2008;2008;t;56012;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2008;2008;1000 No;933500;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2009;2009;t;58916;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2009;2009;1000 No;979000;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2010;2010;t;59556;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2010;2010;1000 No;999660;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2011;2011;t;58829;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2011;2011;1000 No;988700;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2012;2012;t;63682;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2012;2012;1000 No;1039400;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2013;2013;t;63809;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2013;2013;1000 No;1093800;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2014;2014;t;67254;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2014;2014;1000 No;1111046;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2015;2015;t;67393;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2015;2015;1000 No;1122696;E;Estimated value;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2016;2016;t;68247;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2016;2016;1000 No;1122696;E;Estimated value;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2017;2017;t;69762;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2017;2017;1000 No;1164850;E;Estimated value;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2018;2018;t;71147;A;Official figure;
QCL;Crops and livestock products;NO;Norway;5513;Production;231;Hen eggs in shell, fresh;2018;2018;1000 No;1185783;E;Estimated value;
QCL;Crops and livestock products;NO;Norway;5510;Production;231;Hen eggs in shell, fresh;2019;2019;t;73511;A;Official figure;
